> pLValues
   [1] 0.072857143 0.622857143
   [3] 0.122857143 0.390000000
   [5] 0.270000000 0.437142857
   [7] 0.457142857 0.975714286
   [9] 0.532857143 0.242857143
  [11] 0.815714286 0.675714286
  [13] 0.224285714 0.908571429
  [15] 0.851428571 0.678571429
  [17] 0.675714286 0.942857143
  [19] 0.194285714 0.238571429
  [21] 0.384285714 0.362857143
  [23] 0.394285714 0.932857143
  [25] 0.845714286 0.584285714
  [27] 0.387142857 0.910000000
  [29] 0.811428571 0.834285714
  [31] 0.445714286 0.985714286
  [33] 0.592857143 0.181428571
  [35] 0.950000000 0.291428571
  [37] 0.974285714 0.827142857
  [39] 0.412857143 0.065714286
  [41] 0.732857143 0.022857143
  [43] 0.280000000 0.928571429
  [45] 0.505714286 0.657142857
  [47] 0.285714286 0.748571429
  [49] 0.887142857 0.874285714
  [51] 0.710000000 0.147142857
  [53] 0.145714286 0.301428571
  [55] 0.531428571 0.562857143
  [57] 0.301428571 0.857142857
  [59] 0.132857143 0.731428571
  [61] 0.742857143 0.577142857
  [63] 0.167142857 0.027142857
  [65] 0.737142857 0.098571429
  [67] 0.251428571 0.487142857
  [69] 0.521428571 0.245714286
  [71] 0.690000000 0.637142857
  [73] 0.981428571 0.947142857
  [75] 0.387142857 0.750000000
  [77] 0.247142857 0.574285714
  [79] 0.434285714 0.975714286
  [81] 0.090000000 0.918571429
  [83] 0.335714286 0.351428571
  [85] 0.702857143 0.065714286
  [87] 0.748571429 0.162857143
  [89] 0.157142857 0.268571429
  [91] 0.048571429 0.578571429
  [93] 0.900000000 0.637142857
  [95] 0.377142857 0.481428571
  [97] 0.295714286 0.941428571
  [99] 0.525714286 0.872857143
 [101] 0.121428571 0.578571429
 [103] 0.581428571 0.905714286
 [105] 0.842857143 0.798571429
 [107] 0.970000000 0.240000000
 [109] 0.538571429 0.494285714
 [111] 0.421428571 0.335714286
 [113] 0.694285714 0.128571429
 [115] 0.685714286 0.548571429
 [117] 0.422857143 0.948571429
 [119] 0.092857143 0.018571429
 [121] 0.588571429 0.482857143
 [123] 0.418571429 0.730000000
 [125] 0.105714286 0.600000000
 [127] 0.041428571 0.352857143
 [129] 0.564285714 0.318571429
 [131] 0.052857143 0.634285714
 [133] 0.595714286 0.775714286
 [135] 0.045714286 0.757142857
 [137] 0.142857143 0.318571429
 [139] 0.015714286 0.710000000
 [141] 0.600000000 0.664285714
 [143] 0.144285714 0.850000000
 [145] 0.677142857 0.192857143
 [147] 0.712857143 0.270000000
 [149] 0.437142857 0.001428571
 [151] 0.327142857 0.264285714
 [153] 0.508571429 0.344285714
 [155] 0.405714286 0.127142857
 [157] 0.174285714 0.794285714
 [159] 0.182857143 0.630000000
 [161] 0.027142857 0.025714286
 [163] 0.440000000 0.401428571
 [165] 0.780000000 0.410000000
 [167] 0.244285714 0.142857143
 [169] 0.564285714 0.665714286
 [171] 0.360000000 0.632857143
 [173] 0.238571429 0.977142857
 [175] 0.810000000 0.224285714
 [177] 0.925714286 0.770000000
 [179] 0.182857143 0.062857143
 [181] 0.667142857 0.880000000
 [183] 0.077142857 0.708571429
 [185] 0.492857143 0.805714286
 [187] 0.231428571 0.810000000
 [189] 0.812857143 0.124285714
 [191] 0.195714286 0.288571429
 [193] 0.052857143 0.840000000
 [195] 0.164285714 0.744285714
 [197] 0.625714286 0.510000000
 [199] 0.677142857 0.607142857
 [201] 0.767142857 0.405714286
 [203] 0.474285714 0.964285714
 [205] 0.045714286 0.125714286
 [207] 0.507142857 0.294285714
 [209] 0.952857143 0.274285714
 [211] 0.278571429 0.411428571
 [213] 0.168571429 0.895714286
 [215] 0.448571429 0.442857143
 [217] 0.328571429 0.642857143
 [219] 0.751428571 0.188571429
 [221] 0.907142857 0.322857143
 [223] 0.902857143 0.041428571
 [225] 0.687142857 0.767142857
 [227] 0.004285714 0.572857143
 [229] 0.962857143 0.790000000
 [231] 0.892857143 0.428571429
 [233] 0.275714286 0.001428571
 [235] 0.045714286 0.295714286
 [237] 0.957142857 0.310000000
 [239] 0.951428571 0.160000000
 [241] 0.641428571 0.407142857
 [243] 0.041428571 0.814285714
 [245] 0.047142857 0.034285714
 [247] 0.375714286 0.307142857
 [249] 0.460000000 0.518571429
 [251] 0.194285714 0.492857143
 [253] 0.455714286 0.190000000
 [255] 0.924285714 0.430000000
 [257] 0.905714286 0.001428571
 [259] 0.758571429 0.072857143
 [261] 0.465714286 0.967142857
 [263] 0.185714286 0.542857143
 [265] 0.832857143 0.524285714
 [267] 0.617142857 0.871428571
 [269] 0.091428571 0.834285714
 [271] 0.528571429 0.404285714
 [273] 0.427142857 0.880000000
 [275] 0.185714286 0.090000000
 [277] 0.251428571 0.224285714
 [279] 0.712857143 0.351428571
 [281] 0.432857143 0.045714286
 [283] 0.582857143 0.710000000
 [285] 0.004285714 0.597142857
 [287] 0.712857143 0.047142857
 [289] 0.657142857 0.541428571
 [291] 0.637142857 0.280000000
 [293] 0.490000000 0.845714286
 [295] 0.385714286 0.448571429
 [297] 0.458571429 0.471428571
 [299] 0.262857143 0.024285714
 [301] 0.880000000 0.127142857
 [303] 0.731428571 0.181428571
 [305] 0.735714286 0.718571429
 [307] 0.735714286 0.462857143
 [309] 0.745714286 0.332857143
 [311] 0.282857143 0.792857143
 [313] 0.638571429 0.971428571
 [315] 0.894285714 0.930000000
 [317] 0.505714286 0.004285714
 [319] 0.304285714 0.065714286
 [321] 0.718571429 0.454285714
 [323] 0.240000000 0.602857143
 [325] 0.398571429 0.041428571
 [327] 0.235714286 0.865714286
 [329] 0.302857143 0.765714286
 [331] 0.991428571 0.808571429
 [333] 0.465714286 0.530000000
 [335] 0.960000000 0.252857143
 [337] 0.271428571 0.310000000
 [339] 0.418571429 0.548571429
 [341] 0.888571429 0.905714286
 [343] 0.478571429 0.968571429
 [345] 0.010000000 0.091428571
 [347] 0.968571429 0.948571429
 [349] 0.547142857 0.804285714
 [351] 0.708571429 0.284285714
 [353] 0.708571429 0.010000000
 [355] 0.975714286 0.462857143
 [357] 0.984285714 0.502857143
 [359] 0.724285714 0.538571429
 [361] 0.430000000 0.882857143
 [363] 0.414285714 0.361428571
 [365] 0.047142857 0.218571429
 [367] 0.377142857 0.105714286
 [369] 0.380000000 0.390000000
 [371] 0.180000000 0.347142857
 [373] 0.650000000 0.854285714
 [375] 0.402857143 0.748571429
 [377] 0.830000000 0.277142857
 [379] 0.684285714 0.734285714
 [381] 0.460000000 0.237142857
 [383] 0.617142857 0.422857143
 [385] 0.490000000 0.054285714
 [387] 0.220000000 0.008571429
 [389] 0.217142857 0.022857143
 [391] 0.898571429 0.331428571
 [393] 0.977142857 0.234285714
 [395] 0.950000000 0.525714286
 [397] 0.367142857 0.555714286
 [399] 0.761428571 0.902857143
 [401] 0.957142857 0.271428571
 [403] 0.031428571 0.154285714
 [405] 0.841428571 0.462857143
 [407] 0.441428571 0.222857143
 [409] 0.877142857 0.611428571
 [411] 0.100000000 0.202857143
 [413] 0.881428571 0.501428571
 [415] 0.098571429 0.858571429
 [417] 0.272857143 0.808571429
 [419] 0.041428571 0.822857143
 [421] 0.612857143 0.472857143
 [423] 0.447142857 0.968571429
 [425] 0.235714286 0.898571429
 [427] 0.932857143 0.414285714
 [429] 0.268571429 0.718571429
 [431] 0.824285714 0.777142857
 [433] 0.977142857 0.828571429
 [435] 0.835714286 0.772857143
 [437] 0.972857143 0.957142857
 [439] 0.832857143 0.877142857
 [441] 0.831428571 0.811428571
 [443] 0.494285714 0.918571429
 [445] 0.090000000 0.117142857
 [447] 0.362857143 0.277142857
 [449] 0.521428571 0.678571429
 [451] 0.855714286 0.268571429
 [453] 0.285714286 0.440000000
 [455] 0.752857143 0.361428571
 [457] 0.272857143 0.584285714
 [459] 0.857142857 0.550000000
 [461] 0.644285714 0.317142857
 [463] 0.750000000 0.528571429
 [465] 0.927142857 0.585714286
 [467] 0.711428571 0.290000000
 [469] 0.752857143 0.304285714
 [471] 0.078571429 0.131428571
 [473] 0.828571429 0.620000000
 [475] 0.180000000 0.047142857
 [477] 0.525714286 0.832857143
 [479] 0.311428571 0.167142857
 [481] 0.071428571 0.840000000
 [483] 0.755714286 0.357142857
 [485] 0.561428571 0.277142857
 [487] 0.357142857 0.585714286
 [489] 0.602857143 0.661428571
 [491] 0.788571429 0.600000000
 [493] 0.928571429 0.097142857
 [495] 0.375714286 0.931428571
 [497] 0.945714286 0.718571429
 [499] 0.610000000 0.244285714
 [501] 0.384285714 0.382857143
 [503] 0.062857143 0.214285714
 [505] 0.715714286 0.670000000
 [507] 0.658571429 0.928571429
 [509] 0.682857143 0.682857143
 [511] 0.560000000 0.638571429
 [513] 0.721428571 0.071428571
 [515] 0.082857143 0.028571429
 [517] 0.518571429 0.097142857
 [519] 0.995714286 0.801428571
 [521] 0.957142857 0.285714286
 [523] 0.675714286 0.388571429
 [525] 0.401428571 0.545714286
 [527] 0.434285714 0.000000000
 [529] 0.342857143 0.721428571
 [531] 0.862857143 0.504285714
 [533] 0.844285714 0.641428571
 [535] 0.302857143 0.822857143
 [537] 0.722857143 0.061428571
 [539] 0.532857143 0.507142857
 [541] 0.515714286 0.248571429
 [543] 0.827142857 0.347142857
 [545] 0.977142857 0.852857143
 [547] 0.351428571 0.668571429
 [549] 0.220000000 0.095714286
 [551] 0.280000000 0.514285714
 [553] 0.782857143 0.342857143
 [555] 0.431428571 0.035714286
 [557] 0.607142857 0.500000000
 [559] 0.450000000 0.845714286
 [561] 0.751428571 0.880000000
 [563] 0.197142857 0.194285714
 [565] 0.004285714 0.888571429
 [567] 0.408571429 0.821428571
 [569] 0.020000000 0.440000000
 [571] 0.811428571 0.764285714
 [573] 0.702857143 0.780000000
 [575] 0.087142857 0.367142857
 [577] 0.131428571 0.244285714
 [579] 0.532857143 0.182857143
 [581] 0.725714286 0.584285714
 [583] 0.132857143 0.265714286
 [585] 0.717142857 0.568571429
 [587] 0.981428571 0.677142857
 [589] 0.998571429 0.372857143
 [591] 0.090000000 0.105714286
 [593] 0.082857143 0.578571429
 [595] 0.948571429 0.514285714
 [597] 0.875714286 0.701428571
 [599] 0.171428571 0.220000000
 [601] 0.735714286 0.772857143
 [603] 0.091428571 0.360000000
 [605] 0.094285714 0.395714286
 [607] 0.658571429 0.720000000
 [609] 0.972857143 0.164285714
 [611] 0.687142857 0.597142857
 [613] 0.174285714 0.310000000
 [615] 0.142857143 0.835714286
 [617] 0.911428571 0.205714286
 [619] 0.197142857 0.352857143
 [621] 0.201428571 0.824285714
 [623] 0.155714286 0.607142857
 [625] 0.905714286 0.952857143
 [627] 0.281428571 0.352857143
 [629] 0.870000000 0.747142857
 [631] 0.840000000 0.931428571
 [633] 0.927142857 0.925714286
 [635] 0.181428571 0.850000000
 [637] 0.161428571 0.878571429
 [639] 0.501428571 0.654285714
 [641] 0.705714286 0.581428571
 [643] 0.265714286 0.960000000
 [645] 0.408571429 0.344285714
 [647] 0.995714286 0.615714286
 [649] 0.401428571 0.238571429
 [651] 0.557142857 0.792857143
 [653] 0.911428571 0.024285714
 [655] 0.581428571 0.307142857
 [657] 0.701428571 0.797142857
 [659] 0.314285714 0.354285714
 [661] 0.971428571 0.967142857
 [663] 0.248571429 0.745714286
 [665] 0.954285714 0.045714286
 [667] 0.517142857 0.542857143
 [669] 0.920000000 0.754285714
 [671] 0.924285714 0.474285714
 [673] 0.901428571 0.670000000
 [675] 0.257142857 0.182857143
 [677] 0.632857143 0.014285714
 [679] 0.410000000 0.061428571
 [681] 0.448571429 0.451428571
 [683] 0.561428571 0.830000000
 [685] 0.872857143 0.598571429
 [687] 0.908571429 0.618571429
 [689] 0.111428571 0.738571429
 [691] 0.477142857 0.254285714
 [693] 0.361428571 0.890000000
 [695] 0.322857143 0.277142857
 [697] 0.177142857 0.345714286
 [699] 0.528571429 0.125714286
 [701] 0.071428571 0.934285714
